CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C297,BR,-1.0,-3,Mu,Lin,SCOAI
C298,FR,2.0,0,Inter,Bo,SCUAI
C299,BL,1.0,5,Mu,Lo,SCOAN
C3,BR,-2.0,3,Inter,Intra,SCOAI
C30,BR,2.0,1,Mu,Lin,SCUAN
C300,FR,-2.0,0,Mu,Lo,RLOAN
C301,BR,1.0,-3,Mu,Bo,SCOAI
C302,FL,-2.0,0,Mu,Inter,SCOAI
C303,BL,1.0,5,Vi,Inter,SLOAN
C304,BL,-3.0,1,Bo,Vi,SCOAI
C305,BR,1.0,-3,Intra,Mu,RCUAN
C306,FL,3.0,-1,Inter,Lin,SCOAI
C307,FR,-1.0,-3,Inter,Inter,SCOAI
C308,BL,-1.0,-3,Intra,Lo,SCOAI
C309,BL,-3.0,1,Lo,Mu,SCOAI
C31,BR,-2.0,-3,Mu,Vi,RLUEN
C310,BR,-1.0,-5,Lo,Lo,SLOAN
C311,BL,-1.0,-3,Intra,Mu,SCOAI
C312,BR,-1.0,3,Inter,Bo,SCOAI
C313,BR,2.0,0,Mu,Lo,SCOAN
C314,FR,-2.0,4,Lo,Mu,SLOEN
C315,BL,-3.0,1,Mu,Bo,RLOAN
C316,BL,-1.0,-5,Lo,Vi,SCOAI
C317,BL,1.0,3,Mu,Lo,RCOAI
C318,BL,-2.0,4,Na,Lin,RLOAN
C319,BR,-2.0,0,Lo,Mu,SCOEN
C32,BL,1.0,5,Mu,Lo,SCOAN
C320,FL,-2.0,-4,Lin,Lin,SCOAI
C321,BL,1.0,5,Mu,Lo,RLOAI
C322,BR,-1.0,-3,Intra,Lin,RCOAI
C323,BR,-3.0,1,Mu,Intra,SCOAN
C324,BR,-3.0,1,Lin,Lo,SCOAN
C325,BL,1.0,3,Mu,Intra,SCOAN
C326,FL,-1.0,-5,Mu,Vi,SLOEN
C327,BR,3.0,1,Na,Vi,RCOAN
C328,BL,2.0,-4,Lin,Bo,SCOAN
C329,BL,-2.0,4,Lin,Intra,RCUAN
C33,BR,4.0,-5,Bo,Inter,SCUEN
C330,BR,-2.0,-4,Lin,Lin,SCOAN
C331,FR,-1.0,-3,Mu,Lo,SCOEN
C332,BR,2.0,0,Bo,Intra,SLOAI
C333,BL,-2.0,-4,Inter,Inter,RCOEN
C334,FR,1.0,3,Vi,Inter,SCOAI
C335,BL,-3.0,-1,Lo,Vi,SLUAN
C336,BR,-2.0,4,Intra,Mu,RLUAN
C337,BR,1.0,5,Lin,Vi,SCUAN
C338,BR,-1.0,-3,Na,Inter,SCOAI
C339,FR,1.0,5,Mu,Lo,SCOAN
C34,BL,-3.0,4,Inter,Vi,SCOAN
C340,FR,-3.0,1,Bo,Vi,SCOAI
C341,BL,-1.0,-5,Lo,Lo,SCOAN
C342,FR,-1.0,3,Lin,Lin,RLOAN
C343,BR,2.0,-4,Intra,Lo,SCOAI
