CID,BD,LSI,MI,PERSONALITY
C447,BPBD,AE,M2,P4
C448,WBD,AE,M2,P1
C449,BR,CE,M3,P3
C45,DB,AC,M4,P7
C450,PBD,CE,M3,P13
C451,T3,RO,M3,P13
C452,BR,AE,M3,P3
C453,BR,CE,M3,P9
C454,BR,AE,M2,P10
C455,T1,CE,M3,P9
C456,FBD,CE,M2,P6
C457,BR,AE,M2,P7
C458,FBD,CE,M2,P1
C459,DR,AC,M4,P1
C46,PBD,AC,M3,P10
C460,T2,CE,M1,P1
C461,FBD,AE,M4,P1
C462,BPBD,AC,M2,P1
C463,WBD,RO,M2,P3
C464,WBD,AE,M2,P9
C465,T1,RO,M4,P14
C466,DB,AE,M3,P1
C467,WBD,AE,M1,P3
C468,PBD,AE,M5,P3
C469,T2,AC,M3,P7
C47,FBD,AC,M3,P14
C470,BL,AE,M2,P14
C471,FBD,AE,M4,P3
C472,BPBD,AE,M3,P3
C473,BPBD,AC,M3,P9
C474,BR,AE,M3,P1
C475,BPBD,CE,M2,P1
C476,BPBD,AC,M2,P9
C477,PBD,AE,M3,P10
C478,DR,AE,M3,P14
C479,WBD,AE,M2,P1
C48,T1,AE,M2,P14
C480,BPBD,AE,M4,P10
C481,BR,AE,M3,P3
C482,BR,CE,M2,P7
C483,BPBD,RO,M3,P5
C484,DB,AE,M2,P1
C485,PBD,CE,M2,P1
C486,BPBD,AC,M2,P3
C487,BR,CE,M3,P1
C488,PBD,RO,M3,P7
C489,T1,AE,M2,P4
C49,T1,AE,M3,P14
C490,BPBD,AE,M2,P3
C491,T1,CE,M3,P3
C492,T1,AE,M2,P1
C493,BR,AC,M2,P12
C494,T1,AE,M2,P3
C495,BPBD,CE,M3,P3
C496,T1,AE,M2,P11
C497,WBD,RO,M2,P3
C498,T2,AE,M2,P14
C499,BR,AE,M2,P3
C5,PBD,CE,M4,P14
C50,T1,AE,M2,P14
C500,T2,AE,M2,P10
C501,BR,AC,M2,P7
C502,T1,CE,M4,P3
C503,T1,CE,M2,P13
C504,PBD,AE,M2,P1
C505,BPBD,AE,M2,P7
C506,BPBD,CE,M3,P7
C507,BR,CE,M2,P1
C508,T2,AE,M2,P5
C509,DB,AE,M1,P3
C51,WBD,AC,M4,P3
C510,DB,CE,M2,P5
C511,T2,CE,M2,P5
C512,PBD,CE,M3,P6
C513,BPBD,AE,M4,P3
C514,WBD,CE,M2,P3
C515,WBD,RO,M2,P3
C516,DL,AE,M4,P3
C517,BPBD,AC,M1,P1
C518,DB,AC,M2,P14
C519,T1,AE,M2,P14
C52,T1,AE,M2,P1
C520,DB,AE,M2,P9
C521,PBD,AE,M3,P10
C522,T1,AE,M2,P1
C523,FL,CE,M2,P14
C524,WBD,AE,M3,P14
C525,DL,AE,M2,P13
C526,BR,AE,M2,P3
C527,T2,AE,M2,P10
C528,BR,AC,M2,P7
C529,T1,RO,M4,P3
C53,PBD,CE,M3,P13
C530,T1,CE,M2,P13
C531,PBD,AE,M2,P1
C532,BPBD,AE,M2,P7
C533,BPBD,CE,M3,P7
C534,BR,CE,M2,P1
C535,T2,AE,M2,P5
C536,DB,AC,M1,P3
C537,DB,CE,M2,P5
C538,T2,CE,M2,P5
C539,PBD,AC,M3,P6
C54,BR,CE,M3,P1
C540,BPBD,AE,M4,P3
C541,WBD,CE,M2,P3
C542,WBD,RO,M2,P3
C543,DL,AE,M4,P3
C544,BPBD,AC,M1,P1
C545,DB,AC,M2,P14
C546,T1,AE,M2,P14
C547,DB,AE,M2,P9
C548,PBD,AE,M3,P10
C549,T1,AE,M2,P1
C55,PBD,AE,M2,P1
C550,FL,CE,M2,P14
C551,WBD,AE,M3,P14
C552,DL,AE,M2,P13
C553,PBD,AE,M2,P7
C554,PBD,AE,M4,P13
C555,PBD,AE,M2,P1
C556,PBD,CE,M3,P3
C557,PBD,RO,M2,P7
C558,FR,AC,M3,P14
C559,PBD,AE,M2,P1
C56,T1,AE,M4,P3
C560,PBD,AC,M4,P3
C561,PBD,AC,M3,P14
C562,PBD,AC,M2,P7
C563,PBD,RO,M4,P7
C564,PBD,RO,M2,P3
C565,PBD,AE,M3,P9
C566,PBD,AE,M3,P7
C567,FR,AE,M3,P6
C568,PBD,AE,M4,P7
C569,PBD,AE,M3,P3
C57,T2,CE,M6,P7
C570,PBD,AE,M3,P14
C571,FR,AC,M2,P5
C572,PBD,RO,M2,P3
C573,PBD,AE,M2,P5
C574,PBD,AE,M3,P7
C575,PBD,AE,M4,P14
C576,PBD,AC,M4,P7
C577,PBD,CE,M3,P9
C578,PBD,RO,M4,P3
C579,PBD,AE,M3,P1
C58,BPBD,AE,M4,P9
C580,PBD,CE,M2,P2
C581,PBD,AC,M4,P1
C582,FR,AE,M4,P5
C583,FR,RO,M3,P5
C584,PBD,AE,M4,P5
C585,FR,AE,M3,P6
C586,PBD,CE,M4,P3
C587,PBD,AE,M2,P6
C588,PBD,AE,M3,P3
C589,PBD,AE,M4,P14
C59,BR,AE,M3,P1
C590,PBD,RO,M2,P14
C591,PBD,AE,M3,P8
C592,PBD,RO,M3,P4
C593,PBD,AE,M4,P14
C594,PBD,AE,M3,P1
C595,PBD,AE,M2,P7
C596,PBD,AE,M4,P10
C597,PBD,AE,M4,P14
C598,PBD,CE,M3,P10
C599,PBD,AE,M3,P2
C6,BPBD,AE,M2,P3
C60,BPBD,AC,M3,P3
C600,FR,CE,M2,P5
C601,PBD,AE,M4,P3
C602,BR,CE,M3,P7
C603,PBD,AE,M2,P7
C604,PBD,AE,M3,P7
C605,PBD,AE,M2,P14
C606,PBD,CE,M2,P6
C607,BR,CE,M3,P13
C608,PBD,RO,M2,P3
C609,FR,AC,M2,P9
C61,BPBD,AE,M4,P3
C610,PBD,AE,M2,P5
C611,FR,CE,M2,P13
C612,PBD,AC,M2,P14
C613,PBD,CE,M3,P9
C614,PBD,AE,M2,P6
C615,FR,AC,M2,P13
C616,FR,RO,M2,P6
C617,PBD,AE,M3,P4
C618,PBD,RO,M3,P6
C619,PBD,AE,M2,P7
C62,BPBD,AE,M2,P3
C620,PBD,AE,M3,P3
C621,FR,AC,M2,P9
C622,PBD,AE,M4,P4
C623,PBD,AE,M4,P9
C624,FR,AE,M3,P5
C625,PBD,RO,M2,P6
C626,PBD,AC,M4,P9
C627,PBD,AC,M3,P5
C628,PBD,AE,M3,P14
C629,FR,AE,M2,P10
C63,BPBD,AE,M4,P3
C630,PBD,AE,M2,P13
C631,FR,AE,M2,P7
C632,PBD,RO,M2,P5
C633,PBD,CE,M2,P9
C634,PBD,CE,M4,P13
C635,PBD,RO,M2,P1
C636,PBD,AE,M3,P1
C637,PBD,CE,M2,P13
C638,PBD,AC,M6,P12
C639,PBD,CE,M2,P3
C64,T2,AE,M3,P1
C640,FR,CE,M3,P13
C641,FL,AC,M3,P6
C642,FR,RO,M4,P13
C643,PBD,AE,M2,P9
C644,PBD,AE,M3,P10
C645,FR,AE,M4,P13
C646,FR,AC,M3,P13
C647,PBD,CE,M3,P10
C648,PBD,AC,M2,P1
C649,PBD,AE,M4,P14
C65,BL,AC,M3,P3
C650,PBD,AE,M2,P14
C651,FL,AE,M3,P9
C652,PBD,AE,M3,P14
C653,PBD,CE,M2,P14
C654,PBD,CE,M1,P5
C655,PBD,CE,M3,P13
C656,PBD,AE,M2,P9
C657,PBD,CE,M2,P3
C658,PBD,RO,M2,P9
C659,PBD,AE,M3,P14
C66,BL,AE,M6,P14
C660,PBD,CE,M2,P13
C661,PBD,AE,M2,P12
C662,FL,CE,M3,P14
C663,PBD,AE,M2,P13
C664,FR,AE,M3,P3
C665,FR,AE,M3,P7
C666,PBD,RO,M4,P14
C667,PBD,AE,M3,P9
C668,PBD,AC,M4,P9
C669,PBD,RO,M2,P9
C67,BPBD,RO,M3,P5
C670,PBD,AE,M4,P14
C671,PBD,AE,M2,P13
C672,FL,AE,M2,P7
C673,PBD,AE,M2,P3
C674,PBD,AE,M1,P6
C675,PBD,RO,M1,P13
C676,PBD,AE,M2,P14
C677,FR,AE,M3,P9
C678,FR,RO,M4,P10
C679,FR,CE,M4,P9
C68,PBD,CE,M3,P9
C680,PBD,AE,M4,P6
C681,PBD,AE,M4,P10
C682,PBD,AE,M3,P13
