BD DIFF,LSI DIFF,MI DIFF,B5 DIFF,PERFORMANCE,CID
6,0,21,-20,  POOR,C271
-2,0,-1,-16,  POOR,C272
11,0,-18,12,  POOR,C273
2,0,18,-6,  AVERAGE,C274
14,0,18,-37,  GOOD,C275
2,0,22,-35,  GOOD,C276
19,0,9,0,Excellent,C277
5,0,-2,1,Excellent,C278
-10,0,15,-7,Excellent,C279
11,2,13,4,  GOOD,C28
14,0,5,-24,  GOOD,C280
5,0,22,-8,  ,C281
0,0,10,-24,  ,C282
24,0,31,-4,  POOR,C283
2,0,-4,-29,  POOR,C284
24,0,14,-8,  POOR,C285
-2,0,15,29,  GOOD,C286
16,0,21,5,  ,C287
0,0,0,3,  AVERAGE,C288
-9,0,-16,-22,  AVERAGE,C289
17,-1,4,-10,  GOOD,C29
-23,0,-17,3,  GOOD,C290
5,0,-5,-3,  GOOD,C291
2,0,22,-21,  GOOD,C292
-1,0,5,8,  GOOD,C293
3,0,10,11,Excellent,C294
-3,0,2,-8,  GOOD,C295
-13,0,-14,-6,  GOOD,C296
-19,0,7,-32,Excellent,C297
17,0,37,-4,Excellent,C298
17,0,5,-10,Excellent,C299
10,-1,10,-29,Excellent,C3
3,-1,19,1,  GOOD,C30
-2,0,-15,9,  GOOD,C300
-6,0,-9,-16,  POOR,C301
11,0,47,-13,  POOR,C302
7,0,-37,4,  POOR,C303
6,0,-10,-22,  AVERAGE,C304
-7,0,-45,11,  GOOD,C305
14,0,-18,-17,  GOOD,C306
24,0,31,-3,  ,C307
9,0,-6,-22,  POOR,C308
26,0,9,-19,  POOR,C309
18,-1,42,23,  POOR,C31
19,0,33,-2,Excellent,C310
0,0,41,-31,Excellent,C311
15,0,-21,-53,Excellent,C312
-5,0,6,-5,Excellent,C313
15,0,10,6,Excellent,C314
14,0,11,8,Excellent,C315
19,0,14,-25,  AVERAGE,C316
-5,0,-25,-6,  POOR,C317
1,0,-10,-4,  POOR,C318
8,0,1,1,  GOOD,C319
21,4,46,-17,  GOOD,C32
12,0,30,-22,  AVERAGE,C320
6,0,9,1,  GOOD,C321
12,0,48,-1,Excellent,C322
-8,0,14,1,  GOOD,C323
3,0,42,-8,Excellent,C324
-9,0,-27,-6,  POOR,C325
12,0,-1,9,  POOR,C326
12,0,5,-3,  AVERAGE,C327
11,0,24,-3,  GOOD,C328
7,0,-19,2,  GOOD,C329
12,3,6,9,Excellent,C33
18,0,19,-34,Excellent,C330
1,0,18,2,Excellent,C331
22,0,3,-9,Excellent,C332
-7,0,-59,6,Excellent,C333
27,0,-64,-35,Excellent,C334
14,0,29,-5,Excellent,C335
7,0,-4,11,Excellent,C336
13,0,28,-18,Excellent,C337
18,0,43,-45,  POOR,C338
14,0,-13,-15,  GOOD,C339
11,7,2,-5,  AVERAGE,C34
3,0,-56,-11,  GOOD,C340
11,0,-10,-16,Excellent,C341
30,0,58,-3,Excellent,C342
19,0,2,-43,Excellent,C343
2,0,6,-3,  AVERAGE,C344
14,0,33,-33,  POOR,C345
6,0,8,-19,Excellent,C346
23,0,34,-1,Excellent,C347
5,0,34,9,  GOOD,C348
26,0,25,-44,Excellent,C349
10,4,-22,-38,Excellent,C35
-1,-6,-18,-17,  POOR,C350
0,254,-13,-25,  POOR,C351
19,0,39,9,  POOR,C352
10,-1,-8,-20,  AVERAGE,C353
20,4,8,2,  GOOD,C354
11,1,6,12,  GOOD,C355
19,11,38,58,Excellent,C356
-2,1,-13,1,Excellent,C357
-1,-3,14,-3,Excellent,C358
21,-2,45,-25,  AVERAGE,C359
0,1,-18,6,  GOOD,C36
18,1,23,-8,  GOOD,C360
25,5,37,4,Excellent,C361
12,2,-3,-10,Excellent,C362
10,3,13,-2,  AVERAGE,C363
3,3,14,-15,  POOR,C364
4,0,-24,18,  POOR,C365
0,6,13,93,  AVERAGE,C366
-1,-3,6,-24,  POOR,C367
-2,1,-2,-14,  GOOD,C368
11,1,19,-7,  GOOD,C369
6,-2,-1,-13,Excellent,C37
14,-1,-14,-12,  GOOD,C370
4,-1,-8,5,  GOOD,C371
3,1,-49,11,  AVERAGE,C372
11,-1,38,3,  POOR,C373
19,1,7,-28,  POOR,C374
2,1,-86,-4,  POOR,C375
19,0,-3,-10,  POOR,C376
12,-3,-12,-6,Excellent,C377
15,1,12,6,  GOOD,C378
-15,3,1,-21,Excellent,C379
11,-1,-20,-4,Excellent,C38
7,-2,-6,5,Excellent,C380
3,0,-2,-21,Excellent,C381
7,1,-21,2,  GOOD,C382
-18,-1,-54,5,  GOOD,C383
13,4,-15,6,  AVERAGE,C384
-6,-1,-36,7,  POOR,C385
15,1,35,-33,  POOR,C386
11,8,3,-4,  POOR,C387
4,227,6,-31,  POOR,C388
8,198,17,8,  POOR,C389
3,3,31,-3,  POOR,C39
1,2,1,-20,  POOR,C390
-15,-2,-33,12,  POOR,C391
13,193,17,20,  POOR,C392
12,3,-9,-15,  GOOD,C393
11,4,-13,-22,Excellent,C394
6,0,-4,-22,Excellent,C395
8,5,-49,8,  POOR,C396
5,5,-39,-6,  ,C397
5,0,7,-12,  ,C398
13,5,-5,-27,  GOOD,C399
19,7,23,9,Excellent,C4
13,2,-1,-13,Excellent,C40
10,5,-5,-27,  GOOD,C400
5,2,-4,-4,  GOOD,C401
3,2,-3,-15,Excellent,C402
9,-2,-44,11,Excellent,C403
14,0,-3,1,Excellent,C404
15,-1,-3,8,  GOOD,C405
-1,-3,11,6,  GOOD,C406
26,2,-26,-27,  AVERAGE,C407
4,-1,-2,11,  POOR,C408
-14,-3,-66,9,  POOR,C409
12,-2,-1,3,  GOOD,C41
-6,1,-20,7,  GOOD,C410
-2,4,4,18,  GOOD,C411
4,1,-2,13,  GOOD,C412
-4,5,-45,13,Excellent,C413
12,3,-22,12,Excellent,C414
21,-1,-73,151,Excellent,C415
5,-4,-72,111,Excellent,C416
-6,5,-22,111,  GOOD,C417
15,4,14,4,Excellent,C418
16,6,-33,1,Excellent,C419
14,-2,-2,-28,Excellent,C42
15,-4,-32,-11,  GOOD,C420
18,-5,35,-16,Excellent,C421
16,-2,11,-22,Excellent,C422
1,0,-34,-22,Excellent,C423
16,6,-33,1,Excellent,C424
15,-4,-32,-11,Excellent,C425
18,-5,35,-16,  POOR,C426
16,-2,11,-22,  POOR,C427
11,2,-51,2,  AVERAGE,C428
9,-15,-58,23,  GOOD,C429
5,1,-32,-21,  GOOD,C43
2,-4,-22,22,Excellent,C430
7,-3,9,7,  GOOD,C431
13,0,-1,-3,  AVERAGE,C432
23,10,-1,-3,  POOR,C433
15,0,-31,-3,  POOR,C434
12,1,-28,-17,Excellent,C435
24,-1,29,-18,Excellent,C436
7,3,-26,6,Excellent,C437
28,-6,14,7,Excellent,C438
13,0,-47,0,Excellent,C439
6,0,-16,18,Excellent,C44
5,-1,-39,17,  GOOD,C440
13,-10,-50,-1,  AVERAGE,C441
21,1,11,-17,  AVERAGE,C442
6,0,6,1,  GOOD,C443
23,2,-28,-5,  GOOD,C444
9,1,4,10,  GOOD,C445
11,3,20,8,  GOOD,C446
2,-2,-7,11,Excellent,C447
24,-1,16,-37,Excellent,C448
6,1,-9,-11,Excellent,C449
17,-2,-35,1,  POOR,C45
-9,-2,-28,7,  AVERAGE,C450
12,3,-37,25,  GOOD,C451
3,2,-6,-13,  GOOD,C452
3,-19,-23,-3,Excellent,C453
4,1,30,114,Excellent,C454
22,3,11,9,  GOOD,C455
10,-1,7,5,Excellent,C456
7,2,14,-3,  POOR,C457
13,-1,0,-7,  POOR,C458
7,-8,-22,-17,  GOOD,C459
0,-5,-16,-3,  AVERAGE,C46
11,-2,35,-25,  AVERAGE,C460
12,0,-40,-24,  GOOD,C461
9,0,23,-23,  AVERAGE,C462
26,-3,24,-15,Excellent,C463
28,-6,33,7,  GOOD,C464
20,-2,-45,35,Excellent,C465
18,1,-2,-21,Excellent,C466
24,-1,57,-15,Excellent,C467
-1,-3,-44,-11,  AVERAGE,C468
13,-2,-28,-12,  POOR,C469
15,7,24,88,Excellent,C47
11,2,8,18,Excellent,C470
12,0,-36,0,  GOOD,C471
1,-2,-24,-6,Excellent,C472
13,-2,-22,0,Excellent,C473
5,0,-31,-16,  POOR,C474
12,-1,26,-49,  POOR,C475
1,-1,30,0,  POOR,C476
9,6,-28,6,  AVERAGE,C477
12,-4,-40,21,  GOOD,C478
24,-2,9,-49,  GOOD,C479
16,-2,36,85,Excellent,C48
8,-1,-50,6,Excellent,C480
0,0,5,-4,Excellent,C481
4,-4,12,-16,  AVERAGE,C482
5,-6,-4,-1,  GOOD,C483
15,-2,1,-9,  GOOD,C484
-3,0,22,-36,Excellent,C485
1,2,22,-8,Excellent,C486
6,2,-34,-18,  AVERAGE,C487
-9,0,12,-2,  POOR,C488
14,3,14,-15,  POOR,C489
14,-2,-9,64,  AVERAGE,C49
